Primary_Treatment,Avg_Visits,Patients
Deep Scaling and Root Planing,7.85,26
Braces,6.25,4
Metal Braces Treatment,6.21,53
Aligners,6.0,4
Ceramic Braces Treatment,5.76,49
Fixed Bridge,5.73,60
Scaling and Polishing,5.51,61
Partial Denture,5.28,53
Teeth Whitening,5.26,58
Implant,5.22,59
Aligner,5.09,75
Wisdom Tooth Extraction,4.92,62
Complete Denture,4.76,58
Filling,4.45,66
Root Canal,4.39,104
root Canal,3.25,8
Tooth Extraction,3.13,108
Crown/Cap,2.83,6
Pediatric Dental,2.25,8
Gum Treatment,2.25,4
Scaling and Filling,2.0,2
Gum Surgery,2.0,1
Scaling,1.4,15
Deep Cleaning,1.25,4
Consultation,1.17,6
Teeth Cleaning,1.0,5
