Primary_Treatment,Avg_Visits,Patients
Deep Scaling and Root Planing,6.966666666666667,30
Metal Braces Treatment,6.0,106
Fixed Bridge,5.733333333333333,60
Scaling and Polishing,5.508196721311475,61
Partial Denture,5.283018867924528,53
Teeth Whitening,5.258620689655173,58
Implant,5.220338983050848,59
Aligner,5.139240506329114,79
Complete Denture,4.758620689655173,58
Filling,4.454545454545454,66
Root Canal,4.3125,112
Tooth Extraction,3.7823529411764705,170
Crown/Cap,2.8333333333333335,6
Pediatric Dental,2.25,8
Gum Treatment,2.2,5
Scaling,1.4705882352941178,17
Consultation,1.1666666666666667,6
Teeth Cleaning,1.0,5
