Primary_Treatment,Total_Patients,Never_Returned,Returned,Dropout_Rate_Pct
Teeth Cleaning,5,5,0,100.0
Consultation,6,5,1,83.33
Scaling,17,11,6,64.71
Pediatric Dental,8,4,4,50.0
Gum Treatment,5,2,3,40.0
Tooth Extraction,170,48,122,28.24
Root Canal,112,23,89,20.54
Filling,66,13,53,19.7
Deep Scaling and Root Planing,30,5,25,16.67
Teeth Whitening,58,9,49,15.52
Metal Braces Treatment,106,14,92,13.21
Implant,59,7,52,11.86
Aligner,79,9,70,11.39
Complete Denture,58,6,52,10.34
Fixed Bridge,60,5,55,8.33
Scaling and Polishing,61,5,56,8.2
Partial Denture,53,2,51,3.77
Crown/Cap,6,0,6,0.0
