Primary_Treatment,Total_Patients,Never_Returned,Dropout_Rate_Pct
Teeth Cleaning,5,5,100.0
Consultation,6,5,83.3
Scaling,17,11,64.7
Pediatric Dental,8,4,50.0
Gum Treatment,5,2,40.0
Tooth Extraction,170,48,28.2
Root Canal,112,23,20.5
Filling,66,13,19.7
Deep Scaling and Root Planing,30,5,16.7
Teeth Whitening,58,9,15.5
Metal Braces Treatment,106,14,13.2
Implant,59,7,11.9
Aligner,79,9,11.4
Complete Denture,58,6,10.3
Fixed Bridge,60,5,8.3
Scaling and Polishing,61,5,8.2
Partial Denture,53,2,3.8
Crown/Cap,6,0,0.0
